A	ఆ
muggurammala	ముగ్గురమ్మల
mugiMceyyAlanna	ముగించెయ్యాలన్న
mugiSAka	ముగిశాక
mugisina	ముగిసిన
mugisipOyEvi	ముగిసిపోయేవి
mugustuMdi	ముగుస్తుంది
muhUrtaM	ముహూర్తం
mujjagAlakU	ముజ్జగాలకూ
mukEsh	ముకేష్
mukhAnni	ముఖాన్ని
mukhaM	ముఖం
mukhaMpai	ముఖంపై
mukhaikapAda	ముఖైకపాద
mukhyaM	ముఖ్యం
mukhyaMgA	ముఖ్యంగా
mukhyamO	ముఖ్యమో
mukhyamaMtri	ముఖ్యమంత్రి
mukhyamaina	ముఖ్యమైన
mukhyamainavEgAnI	ముఖ్యమైనవేగానీ
mukhyamani	ముఖ్యమని
mukkaMTini	ముక్కంటిని
mukku	ముక్కు
mukkulu	ముక్కులు
mukkutO	ముక్కుతో
mullOkAla	ముల్లోకాల
mullOkAllOni	ముల్లోకాల్లోని
munISvaruDu	మునీశ్వరుడు
munigipOvu	మునిగిపోవు
munmuMdu	మున్ముందు
munupu	మునుపు
mupphai	ముప్ఫై
muppu	ముప్పు
muppulU	ముప్పులూ
muppulu	ముప్పులు
murikipanilA	మురికిపనిలా
nA	నా
nADu	నాడు
nADula	నాడుల
nALlalO	నాళ్లలో
nAT	నాట్
nATi	నాటి
nATu	నాటు
nATuvaidyulugA	నాటువైద్యులుగా
nATya	నాట్య
nAdi	నాది
nAgadEvatanU	నాగదేవతనూ
nAgadOsha	నాగదోష
nAgarIka	నాగరీక
nAgarikata	నాగరికత
nAgarikatalOnU	నాగరికతలోనూ
nAgarikatalanniMTilOnU	నాగరికతలన్నింటిలోనూ
nAkE	నాకే
nAkOsaM	నాకోసం
nAkishTaM	నాకిష్టం
nAku	నాకు
nAlO	నాలో
nAlugO	నాలుగో
nAlugu	నాలుగు
nAluguvaipulA	నాలుగువైపులా
nAmamE	నామమే
nAnA	నానా
nAnATikI	నానాటికీ
nArAyaNatIrthulavAru	నారాయణతీర్థులవారు
nArAyaNavanaM	నారాయణవనం
nArAyaNuDu	నారాయణుడు
nArasiMha	నారసింహ
nArasiMhuDu	నారసింహుడు
nAsti	నాస్తి
nAvalO	నావలో
nAvanu	నావను
nAvikulu	నావికులు
nAyakuDu	నాయకుడు
nAyuDu	నాయుడు
nEDu	నేడు
nETi	నేటి
nETikI	నేటికీ
nEcar	నేచర్
nEla	నేల
nElapai	నేలపై
nEnE	నేనే
nEnu	నేను
nEpathyaM	నేపథ్యం
nEpathyaMlO	నేపథ్యంలో
nErcukOvaTaM	నేర్చుకోవటం
nErpEdi	నేర్పేది
nErpistuMdi	నేర్పిస్తుంది
nErugA	నేరుగా
nEtraparvaM	నేత్రపర్వం
nI	నీ
nILlu	నీళ్లు
nILlujallEvi	నీళ్లుజల్లేవి
nITilO	నీటిలో
nITitO	నీటితో
nIkE	నీకే
nIli	నీలి
nItA	నీతా
nRtyAlu	నృత్యాలు
nU	నూ
nUTa	నూట
nUTanalabhai	నూటనలభై
nUTiki	నూటికి
nUrELla	నూరేళ్ల
nUru	నూరు
nUtana	నూతన
na	న
naDavalEni	నడవలేని
naDicE	నడిచే
naDicina	నడిచిన
naDuma	నడుమ
naDustuMTAyi	నడుస్తుంటాయి
naDustunnappuDu	నడుస్తున్నప్పుడు
naMbarlalO	నంబర్లలో
naMdi	నంది
naMdyAla	నంద్యాల
naTarAju	నటరాజు
naTistuMTE	నటిస్తుంటే
nadImArgAna	నదీమార్గాన
nagadu	నగదు
nagaramE	నగరమే
naipuNyAlanU	నైపుణ్యాలనూ
naitikamaina	నైతికమైన
naitikaparamaina	నైతికపరమైన
najarAnAlu	నజరానాలు
nakilI	నకిలీ
nakshatraM	నక్షత్రం
nalabhai	నలభై
nalgoMDa	నల్గొండ
nallabOrDu	నల్లబోర్డు
nallamala	నల్లమల
nalugurilO	నలుగురిలో
nalugutunna	నలుగుతున్న
namOdai	నమోదై
namaHpArvatIpatayE	నమఃపార్వతీపతయే
namaSSivAya	నమశ్శివాయ
namakAniki	నమకానికి
namaskArAlu	నమస్కారాలు
nammALvAr	నమ్మాళ్వార్
nammakAllO	నమ్మకాల్లో
nammakaM	నమ్మకం
nammika	నమ్మిక
nammutunna	నమ్ముతున్న
nannaya	నన్నయ
nannu	నన్ను
napuMsaka	నపుంసక
napuMsakatvaM	నపుంసకత్వం
napuMsakulU	నపుంసకులూ
narAla	నరాల
narAlu	నరాలు
narEMdra	నరేంద్ర
narEMdruDi	నరేంద్రుడి
narahari	నరహరి
narasiMha	నరసింహ
narasiMharAyalu	నరసింహరాయలు
narasiMhasvAmi	నరసింహస్వామి
narasiMhavarma	నరసింహవర్మ
narasiMhuDu	నరసింహుడు
narasiMhula	నరసింహుల
narasiMhuni	నరసింహుని
nashTaM	నష్టం
naukarI	నౌకరీ
navAbula	నవాబుల
nava	నవ
navagrahAlu	నవగ్రహాలు
navagraha	నవగ్రహ
navaratnAlu	నవరత్నాలు
navayavvana	నవయవ్వన
navayavvanaM	నవయవ్వనం
nayaM	నయం
nayamaiMdi	నయమైంది
nayamaina	నయమైన
neT	నెట్
neTTukoni	నెట్టుకొని
nelA	నెలా
nela	నెల
nelakoMdani	నెలకొందని
nelakonE	నెలకొనే
nelakonaTaM	నెలకొనటం
nelakoni	నెలకొని
nelakonna	నెలకొన్న
nelalO	నెలలో
nelala	నెలల
nelalakOsAri	నెలలకోసారి
nelallO	నెలల్లో
nelalu	నెలలు
nelasari	నెలసరి
nelavugA	నెలవుగా
nemmadigA	నెమ్మదిగా
neravErcukunEMduku	నెరవేర్చుకునేందుకు
nes	నెస్
ni	ని
niMDA	నిండా
niMDi	నిండి
niMDugA	నిండుగా
niMdiMcaTaM	నిందించటం
niScalaMgA	నిశ్చలంగా
niScayaM	నిశ్చయం
niScayiMcukoMTuMdi	నిశ్చయించుకొంటుంది
niScitaMgA	నిశ్చితంగా
niTalAkshuni	నిటలాక్షుని
nibaMdhanalEmI	నిబంధనలేమీ
nibaMdhanalU	నిబంధనలూ
nibaMdhanalu	నిబంధనలు
nidarSanaM	నిదర్శనం
nidrAbhaMgaM	నిద్రాభంగం
nidra	నిద్ర
nidraku	నిద్రకు
nidralEmi	నిద్రలేమి
nidralEvaTAniki	నిద్రలేవటానికి
nidralO	నిద్రలో
nidrapaDutuMdi	నిద్రపడుతుంది
nigAriMcE	నిగారించే
niganigalADE	నిగనిగలాడే
nijAniki	నిజానికి
nijaMgAnE	నిజంగానే
nijajIvitaMlO	నిజజీవితంలో
nijamaina	నిజమైన
nijamani	నిజమని
nijamanukoni	నిజమనుకొని
nilabaDE	నిలబడే
nilabaDEMtavarakU	నిలబడేంతవరకూ
nilabaDi	నిలబడి
nilabaDinappuDu	నిలబడినప్పుడు
niladIyaTaM	నిలదీయటం
nilaya	నిలయ
nilicADaTa	నిలిచాడట
nilicE	నిలిచే
nilicEdi	నిలిచేది
nilustAyani	నిలుస్తాయని
nilustuMdi	నిలుస్తుంది
niluvaristADu	నిలువరిస్తాడు
niluvellA	నిలువెల్లా
nimaraTaM	నిమరటం
nimishAla	నిమిషాల
nimishAlakO	నిమిషాలకో
nimishAlaku	నిమిషాలకు
nimishAlanu	నిమిషాలను
nimishAlu	నిమిషాలు
nimishAnikO	నిమిషానికో
nimishaM	నిమిషం
nimittaM	నిమిత్తం
nippu	నిప్పు
nipuNula	నిపుణుల
nipuNulu	నిపుణులు
nirASaku	నిరాశకు
nirASalOki	నిరాశలోకి
nirAsaktata	నిరాసక్తత
nirNayaM	నిర్ణయం
nirNayiMciMdi	నిర్ణయించింది
nirNayiMcukunnADaTa	నిర్ణయించుకున్నాడట
nirNayiMcukunnArAme	నిర్ణయించుకున్నారామె
nirNayistADu	నిర్ణయిస్తాడు
nirOdhaka	నిరోధక
niraMtaraM	నిరంతరం
nirdESiMciMdi	నిర్దేశించింది
nirdESiMcina	నిర్దేశించిన
nirdESita	నిర్దేశిత
nirdhAriMcaTaM	నిర్ధారించటం
nirdishTamaina	నిర్దిష్టమైన
nirmANAlanu	నిర్మాణాలను
nirmANa	నిర్మాణ
nirmANaM	నిర్మాణం
nirmANaMpai	నిర్మాణంపై
nirmANaSaili	నిర్మాణశైలి
nirmalaMgA	నిర్మలంగా
nirmiMcADani	నిర్మించాడని
nirmiMcAru	నిర్మించారు
nirmiMcina	నిర్మించిన
nirmistU	నిర్మిస్తూ
nirthAraNa	నిర్థారణ
nirutsAhaM	నిరుత్సాహం
nirvEdaMlOki	నిర్వేదంలోకి
nirvIryamaipOtuMTuMdi	నిర్వీర్యమైపోతుంటుంది
nirvahiMcE	నిర్వహించే
nirvahiMcEMduku	నిర్వహించేందుకు
nirvahiMci	నిర్వహించి
nirvahiMciMdi	నిర్వహించింది
nirvahiMcina	నిర్వహించిన
nirvahiMcukunna	నిర్వహించుకున్న
nirvahistAru	నిర్వహిస్తారు
nirvahistOMdi	నిర్వహిస్తోంది
nirvahistunnAru	నిర్వహిస్తున్నారు
nirvahistunna	నిర్వహిస్తున్న
nirvighnaMgA	నిర్విఘ్నంగా
nirvighnamastu	నిర్విఘ్నమస్తు
nishEdhaM	నిషేధం
nishiddha	నిషిద్ధ
nishiddhapadaM	నిషిద్ధపదం
nissAramaina	నిస్సారమైన
nissattuva	నిస్సత్తువ
nityOtsavAlni	నిత్యోత్సవాల్ని
nityOtsava	నిత్యోత్సవ
nitya	నిత్య
nityaM	నిత్యం
nityapUjalu	నిత్యపూజలు
nivAraNakE	నివారణకే
nivAriMcukOvaTAnikE	నివారించుకోవటానికే
nivAriMcukOvaccu	నివారించుకోవచ్చు
nivRtti	నివృత్తి
nivasistE	నివసిస్తే
niyAmakAla	నియామకాల
niyAmaka	నియామక
niyOjakavargaMlOni	నియోజకవర్గంలోని
niyaMtraNa	నియంత్రణ
niyamAlu	నియమాలు
nokki	నొక్కి
nokkukupOyi	నొక్కుకుపోయి
noppi	నొప్పి
nu	ను
nuMcE	నుంచే
nuMcI	నుంచీ
nuMcO	నుంచో
nuMci	నుంచి
nunnaTi	నున్నటి
nuvvugiMjaMta	నువ్వుగింజంత
oDDuku	ఒడ్డుకు
oDDuna	ఒడ్డున
oDiduDukulatO	ఒడిదుడుకులతో
oMTabaTTiMcukuMTAru	ఒంటబట్టించుకుంటారు
oMTarigAnE	ఒంటరిగానే
oMTelU	ఒంటెలూ
oMTiki	ఒంటికి
oMTlO	ఒంట్లో
oMTlOMci	ఒంట్లోంచి
oMTlOnU	ఒంట్లోనూ
okE	ఒకే
okElA	ఒకేలా
oka	ఒక
okaTE	ఒకటే
okaTi	ఒకటి
okaTigA	ఒకటిగా
okaTinnara	ఒకటిన్నర
okappaTilA	ఒకప్పటిలా
okappuDu	ఒకప్పుడు
okarOju	ఒకరోజు
okari	ఒకరి
okariki	ఒకరికి
okarinE	ఒకరినే
okarini	ఒకరిని
okarinokaru	ఒకరినొకరు
okaripai	ఒకరిపై
okaru	ఒకరు
okasAri	ఒకసారి
okasArigAnI	ఒకసారిగానీ
okavELa	ఒకవేళ
okavaipu	ఒకవైపు
okkO	ఒక్కో
okkOrOju	ఒక్కోరోజు
okkOvidhaMgA	ఒక్కోవిధంగా
okka	ఒక్క
okkaTE	ఒక్కటే
okkaTainA	ఒక్కటైనా
okkaTi	ఒక్కటి
okkarOjainA	ఒక్కరోజైనా
okkarOju	ఒక్కరోజు
okkariki	ఒక్కరికి
okkarilO	ఒక్కరిలో
okkasArigA	ఒక్కసారిగా
oliMpik	ఒలింపిక్
oliMpiks	ఒలింపిక్స్
onagUDE	ఒనగూడే
oppaMdaM	ఒప్పందం
oppiMcAlO	ఒప్పించాలో
orEy	ఒరేయ్
orissA	ఒరిస్సా
ottiDi	ఒత్తిడి
ottiDini	ఒత్తిడిని
ottiLlalO	ఒత్తిళ్లలో
ottiLlatO	ఒత్తిళ్లతో
pADubaDDa	పాడుబడ్డ
pAScAtya	పాశ్చాత్య
pASupatAstraMtO	పాశుపతాస్త్రంతో
pATU	పాటూ
pAThAlani	పాఠాలని
pAThAlu	పాఠాలు
pAThyapustakaM	పాఠ్యపుస్తకం
pATiMcaTaM	పాటించటం
pATiMcani	పాటించని
pATiyAlA	పాటియాలా
pATu	పాటు
pAdAlaku	పాదాలకు
pAdapadmAlni	పాదపద్మాల్ని
pAdulatO	పాదులతో
pAkshikaMgA	పాక్షికంగా
pAlakollulO	పాలకొల్లులో
pAlakuDaina	పాలకుడైన
pAlakuDigA	పాలకుడిగా
pAlakuDu	పాలకుడు
pAlanA	పాలనా
pAlanalO	పాలనలో
pAlanalOki	పాలనలోకి
pAlgonE	పాల్గొనే
pAlgonalEkapOvaccu	పాల్గొనలేకపోవచ్చు
pAlgonalEni	పాల్గొనలేని
pAlgoni	పాల్గొని
pAlgonnA	పాల్గొన్నా
pAlgonnAyi	పాల్గొన్నాయి
pAliMcina	పాలించిన
pAlistunna	పాలిస్తున్న
pAmula	పాముల
pAnIyAlanU	పానీయాలనూ
pApAlU	పాపాలూ
pApAlanu	పాపాలను
pApAlu	పాపాలు
pApabhAraM	పాపభారం
pApanASanaM	పాపనాశనం
pApaparihAramautuMdani	పాపపరిహారమౌతుందని
pArE	పారే
pArSAvallOnU	పార్శా్వల్లోనూ
pAripOtAyani	పారిపోతాయని
pAripOtE	పారిపోతే
pArk	పార్క్
pArutU	పారుతూ
pAruvETOtsavAlaku	పారువేటోత్సవాలకు
pAruvETOtsavAllO	పారువేటోత్సవాల్లో
pAruvETOtsavAlu	పారువేటోత్సవాలు
pAruvETa	పారువేట
pArvETOtsavAlu	పార్వేటోత్సవాలు
pAtALaMnuMci	పాతాళంనుంచి
pAta	పాత
pAtra	పాత్ర
pAtrala	పాత్రల
pAtralunnAyi	పాత్రలున్నాయి
pETa	పేట
pEdAdhanikA	పేదాధనికా
pEdOLlu	పేదోళ్లు
pEda	పేద
pEparlu	పేపర్లు
pEraMTAniki	పేరంటానికి
pErkoMTAru	పేర్కొంటారు
pErkoMTunnAyi	పేర్కొంటున్నాయి
pErkoMdi	పేర్కొంది
pErkonnAru	పేర్కొన్నారు
pErkonnAyi	పేర్కొన్నాయి
pErlanu	పేర్లను
pErlatO	పేర్లతో
pEroMdina	పేరొందిన
pEru	పేరు
pErutO	పేరుతో
pIDala	పీడల
pIDiMcE	పీడించే
pIDistuMTuMdi	పీడిస్తుంటుంది
pIDitulu	పీడితులు
pIThAdhipati	పీఠాధిపతి
pIThAdhipatiki	పీఠాధిపతికి
pIThAlu	పీఠాలు
pIThaM	పీఠం
pIlcinappuDu	పీల్చినప్పుడు
pIlcukOka	పీల్చుకోక
pInail	పీనైల్
pIvI	పీవీ
pOTI	పోటీ
pOTIpaDatAru	పోటీపడతారు
pOTIparIkshala	పోటీపరీక్షల
pOTettutAru	పోటెత్తుతారు
pOcammatalli	పోచమ్మతల్లి
pOgoTTukunna	పోగొట్టుకున్న
pOlina	పోలిన
pOlistE	పోలిస్తే
pOnI	పోనీ
pOrADutuMdani	పోరాడుతుందని
pOshiMcAlsi	పోషించాల్సి
pOshiMcukuMTU	పోషించుకుంటూ
pOshistuMTuMdi	పోషిస్తుంటుంది
pOshistuMdi	పోషిస్తుంది
pOtAyani	పోతాయని
pOtuMdanna	పోతుందన్న
pOtunnAyi	పోతున్నాయి
pOvAli	పోవాలి
pOvaTaMlO	పోవటంలో
pOvaccu	పోవచ్చు
pOyi	పోయి
pOyiMdi	పోయింది
pUTa	పూట
pUjAdikAlu	పూజాదికాలు
pUja	పూజ
pUjaku	పూజకు
pUjala	పూజల
pUjalaMdukoMTunnAyi	పూజలందుకొంటున్నాయి
pUjalaMdukuMTADu	పూజలందుకుంటాడు
pUjalaMdukuMTOMdi	పూజలందుకుంటోంది
pUjalaMdukuMTunnADu	పూజలందుకుంటున్నాడు
pUjalaku	పూజలకు
pUjalu	పూజలు
pUjiMcADaTa	పూజించాడట
pUjistE	పూజిస్తే
pUrNima	పూర్ణిమ
pUrtaiMdi	పూర్తైంది
pUrtavutAyi	పూర్తవుతాయి
pUrtayina	పూర్తయిన
pUrti	పూర్తి
pUrticESADanI	పూర్తిచేశాడనీ
pUrtigA	పూర్తిగా
pUrtisthAyilO	పూర్తిస్థాయిలో
pUrvIkulu	పూర్వీకులు
pUrvavaibhava	పూర్వవైభవ
pUrvikuDaina	పూర్వికుడైన
paDAli	పడాలి
paDDArAme	పడ్డారామె
paDDa	పడ్డ
paDDavE	పడ్డవే
paDE	పడే
paDEsE	పడేసే
paDaka	పడక
paDina	పడిన
paDinappuDu	పడినప్పుడు
paDipOvaTaM	పడిపోవటం
paDipOyiMdi	పడిపోయింది
paDoccani	పడొచ్చని
paDukOvAli	పడుకోవాలి
paDukOvaTamE	పడుకోవటమే
paDukoni	పడుకొని
paDukuMTEnE	పడుకుంటేనే
paDutunnA	పడుతున్నా
paLlu	పళ్లు
paMDagaMTE	పండగంటే
paMDitulu	పండితులు
paMDugE	పండుగే
paMDuga	పండుగ
paMDuvayasulO	పండువయసులో
paMTa	పంట
paMcAksharI	పంచాక్షరీ
paMcArAmAlaku	పంచారామాలకు
paMcArAmAllO	పంచారామాల్లో
paMcArAmAllOni	పంచారామాల్లోని
paMcadAra	పంచదార
paMcalOha	పంచలోహ
paMdhommidO	పంధొమ్మిదో
paMpA	పంపా
paScimOttAnAsanaM	పశ్చిమోత్తానాసనం
paTApaMcalu	పటాపంచలు
paTTAlekkiMdi	పట్టాలెక్కింది
paTTE	పట్టే
paTTESAyi	పట్టేశాయి
paTTaNAlatO	పట్టణాలతో
paTTaNAllO	పట్టణాల్లో
paTTaNAniki	పట్టణానికి
paTTalEdu	పట్టలేదు
paTTarAni	పట్టరాని
paTTi	పట్టి
paTTiMcukOkapOvaTaM	పట్టించుకోకపోవటం
paTTiMcukuMTAru	పట్టించుకుంటారు
paTTiMdi	పట్టింది
paTTiMpulu	పట్టింపులు
paTTika	పట్టిక
paTTukOvAlsi	పట్టుకోవాల్సి
paTalaM	పటలం
paTishThaMgA	పటిష్ఠంగా
paTla	పట్ల
paTrApO	పట్రాపో
paTutvAnni	పటుత్వాన్ని
paTutvaM	పటుత్వం
paccaTi	పచ్చటి
paccadanaM	పచ్చదనం
paccani	పచ్చని
paccika	పచ్చిక
padA	పదా
padaM	పదం
padaMgA	పదంగా
padahArO	పదహారో
padavi	పదవి
paddenimidi	పద్దెనిమిది
paddhataitE	పద్ధతైతే
paddhati	పద్ధతి
paddhatini	పద్ధతిని
paddhatulanU	పద్ధతులనూ
paddhatulatO	పద్ధతులతో
paddhatulu	పద్ధతులు
padi	పది
padiSAtaM	పదిశాతం
padmAvati	పద్మావతి
padnAlugELlu	పద్నాలుగేళ్లు
pagaTi	పగటి
pagilE	పగిలే
pai	పై
paibaDina	పైబడిన
paigA	పైగా
paiki	పైకి
pakkaTemukalaku	పక్కటెముకలకు
pakkanE	పక్కనే
pakkiMTlO	పక్కింట్లో
pakshOtsava	పక్షోత్సవ
pakshaMlO	పక్షంలో
pakshavAtaM	పక్షవాతం
pakshulu	పక్షులు
palakariMcAlani	పలకరించాలని
palakariMcEvANni	పలకరించేవాణ్ని
palakaristUnE	పలకరిస్తూనే
pallakI	పల్లకీ
pallakIni	పల్లకీని
pallaki	పల్లకి
pallavarANi	పల్లవరాణి
palu	పలు
pani	పని
panibhAraMtO	పనిభారంతో
panicEsE	పనిచేసే
panicEstAyi	పనిచేస్తాయి
panicEstuMdi	పనిచేస్తుంది
panicEyaDaM	పనిచేయడం
panicEyaniyyavu	పనిచేయనియ్యవు
panikirAdaMTAru	పనికిరాదంటారు
panitIrU	పనితీరూ
panitIru	పనితీరు
panitIrulanu	పనితీరులను
panitIrunu	పనితీరును
panitIrupai	పనితీరుపై
panitOpATu	పనితోపాటు
panitanaM	పనితనం
panneMDu	పన్నెండు
panula	పనుల
panulanu	పనులను
parIksha	పరీక్ష
parIkshagA	పరీక్షగా
parIkshalO	పరీక్షలో
parIkshala	పరీక్షల
parIkshalaMTE	పరీక్షలంటే
parIkshalaku	పరీక్షలకు
parIkshalanagAnE	పరీక్షలనగానే
parIkshalavarakU	పరీక్షలవరకూ
parIkshallO	పరీక్షల్లో
parIkshalu	పరీక్షలు
paracalEkapOtunnAnanE	పరచలేకపోతున్నాననే
paradAla	పరదాల
paragaDupuna	పరగడుపున
paramESvaruDiki	పరమేశ్వరుడికి
paramESvaruDu	పరమేశ్వరుడు
parama	పరమ
paramaSivuDi	పరమశివుడి
paramaina	పరమైన
paravaLlutokkE	పరవళ్లుతొక్కే
pari	పరి
pariDhavillAyi	పరిఢవిల్లాయి
pariNAmAlakU	పరిణామాలకూ
pariNAmAlu	పరిణామాలు
pariSIlana	పరిశీలన
pariSIlanaku	పరిశీలనకు
pariSOdhakula	పరిశోధకుల
pariSOdhakulu	పరిశోధకులు
pariSOdhanA	పరిశోధనా
pariSOdhanallO	పరిశోధనల్లో
pariSOdhanalu	పరిశోధనలు
paricayaM	పరిచయం
parici	పరిచి
paridhilO	పరిధిలో
parigaNanalOki	పరిగణనలోకి
parikarAlu	పరికరాలు
parimitamayyADu	పరిమితమయ్యాడు
paripUrNa	పరిపూర్ణ
paripari	పరిపరి
parisarAllO	పరిసరాల్లో
parisarAllOni	పరిసరాల్లోని
parisarAlu	పరిసరాలు
parishkArAlu	పరిష్కారాలు
parishkAraM	పరిష్కారం
parishkaristADu	పరిష్కరిస్తాడు
paristhitE	పరిస్థితే
paristhitI	పరిస్థితీ
paristhiti	పరిస్థితి
paristhitilO	పరిస్థితిలో
paristhitula	పరిస్థితుల
paristhitullO	పరిస్థితుల్లో
paristhitulu	పరిస్థితులు
parugettaDaM	పరుగెత్తడం
parvadinAllO	పర్వదినాల్లో
parvatavardhini	పర్వతవర్ధిని
paryATaka	పర్యాటక
paryaTana	పర్యటన
paryaTiMcina	పర్యటించిన
paryavasAnaM	పర్యవసానం
pasibiDDala	పసిబిడ్డల
pasibiDDalu	పసిబిడ్డలు
pasitanaM	పసితనం
pasivayasu	పసివయసు
pasivayasulO	పసివయసులో
pataka	పతక
patakaM	పతకం
patanAnaMtaraM	పతనానంతరం
pathakAlanu	పథకాలను
pathakaM	పథకం
patrAla	పత్రాల
patraM	పత్రం
paurANika	పౌరాణిక
paurANikaMgAnU	పౌరాణికంగానూ
paurNami	పౌర్ణమి
paurNaminADu	పౌర్ణమినాడు
pavitrAdbhutamaina	పవిత్రాద్భుతమైన
pavitra	పవిత్ర
pavitramainadani	పవిత్రమైనదని
pavitrata	పవిత్రత
peDamogaMgA	పెడమొగంగా
peDatOva	పెడతోవ
peDutuMTE	పెడుతుంటే
peLlADAlanukunnADaTa	పెళ్లాడాలనుకున్నాడట
peLlADDaM	పెళ్లాడ్డం
peLlai	పెళ్లై
peLlaiMdi	పెళ్లైంది
peLlaina	పెళ్లైన
peLlainakottalO	పెళ్లైనకొత్తలో
peLli	పెళ్లి
peLlibaTTalalO	పెళ్లిబట్టలలో
peLlicUpulu	పెళ్లిచూపులు
peLliki	పెళ్లికి
peMci	పెంచి
peMcina	పెంచిన
peMcukOvaTAniki	పెంచుకోవటానికి
peMcukOvaTaM	పెంచుకోవటం
peMcukOvaTaMlO	పెంచుకోవటంలో
peMcukuMTOMdi	పెంచుకుంటోంది
peMcutAyi	పెంచుతాయి
peMkullO	పెంకుల్లో
peMpakAnikI	పెంపకానికీ
peMpakaM	పెంపకం
peMpoMdi	పెంపొంది
peMpu	పెంపు
peTTAlaMTE	పెట్టాలంటే
peTTAli	పెట్టాలి
peTTAru	పెట్టారు
peTTEdelA	పెట్టేదెలా
peTTakuMDA	పెట్టకుండా
peTTe	పెట్టె
peTTi	పెట్టి
peTTinaMduku	పెట్టినందుకు
peTTukOvAlsina	పెట్టుకోవాల్సిన
peTTukOvaTaM	పెట్టుకోవటం
peTTukOvaccu	పెట్టుకోవచ్చు
peTTukunE	పెట్టుకునే
peTTukuni	పెట్టుకుని
peTrOliyaM	పెట్రోలియం
pedavulanu	పెదవులను
pedda	పెద్ద
peddadi	పెద్దది
peddagA	పెద్దగా
peddalu	పెద్దలు
peddamottaMlO	పెద్దమొత్తంలో
peddapedda	పెద్దపెద్ద
peddavALlu	పెద్దవాళ్లు
peddavainA	పెద్దవైనా
peddavayasulO	పెద్దవయసులో
peddayyAka	పెద్దయ్యాక
pellubikAyi	పెల్లుబికాయి
penu	పెను
penumaLla	పెనుమళ్ల
peraTlO	పెరట్లో
peragAli	పెరగాలి
peragAlsina	పెరగాల్సిన
peragaDaM	పెరగడం
peragaTAniki	పెరగటానికి
peragaTaM	పెరగటం
peragaTamE	పెరగటమే
perigAyi	పెరిగాయి
perigE	పెరిగే
perigi	పెరిగి
perigina	పెరిగిన
periginaTlu	పెరిగినట్లు
perigipOtunnAyani	పెరిగిపోతున్నాయని
perigipOyiMdi	పెరిగిపోయింది
perugutAru	పెరుగుతారు
perugutAyi	పెరుగుతాయి
perugutOMdi	పెరుగుతోంది
perugutuMdani	పెరుగుతుందని
perugutuMdi	పెరుగుతుంది
perugutunnAyi	పెరుగుతున్నాయి
perugutunna	పెరుగుతున్న
perugutunnaTTu	పెరుగుతున్నట్టు
phAdar	ఫాదర్
phArmA	ఫార్మా
phOm	ఫోమ్
phOn	ఫోన్
phOr	ఫోర్
phaMkshan	ఫంక్షన్
phalAnA	ఫలానా
phalamani	ఫలమని
phalitAla	ఫలితాల
phalitAlanE	ఫలితాలనే
phalitAlatO	ఫలితాలతో
phalitAlu	ఫలితాలు
phalitaMgA	ఫలితంగా
phalitamE	ఫలితమే
pharIdAbAd	ఫరీదాబాద్
pherrI	ఫెర్రీ
phiT	ఫిట్
phrAyiD	ఫ్రాయిడ్
phreMDs	ఫ్రెండ్స్
phreMc	ఫ్రెంచ్
phrijiD	ఫ్రిజిడ్
phyUcar	ఫ్యూచర్
piDugulAMTi	పిడుగులాంటి
pilavani	పిలవని
pilicEvAraTa	పిలిచేవారట
pilicEvArani	పిలిచేవారని
pilicEvAru	పిలిచేవారు
pilipiMcAru	పిలిపించారు
pilipiMcukuni	పిలిపించుకుని
pillala	పిల్లల
pillalaku	పిల్లలకు
pillalanu	పిల్లలను
pillalatO	పిల్లలతో
pillallO	పిల్లల్లో
pillalu	పిల్లలు
pilupu	పిలుపు
pilustADu	పిలుస్తాడు
pilustAru	పిలుస్తారు
pinnItO	పిన్నీతో
pinni	పిన్ని
pinniMTiki	పిన్నింటికి
plAsTik	ప్లాస్టిక్
plET	ప్లేట్
poDavATi	పొడవాటి
poDavu	పొడవు
poDavunA	పొడవునా
poDucukOvaTaM	పొడుచుకోవటం
poDuguna	పొడుగున
poMci	పొంచి
poMdAlsinaMtaTi	పొందాల్సినంతటి
poMdAru	పొందారు
poMdE	పొందే
poMdEvAri	పొందేవారి
poMdaTAniki	పొందటానికి
poMdaccu	పొందచ్చు
poMdalEru	పొందలేరు
poMdanunnAru	పొందనున్నారు
poMdavaccu	పొందవచ్చు
poMdiMdi	పొందింది
poMdina	పొందిన
poMdutArani	పొందుతారని
poMgukocciMdi	పొంగుకొచ్చింది
poMgukostuMdi	పొంగుకొస్తుంది
poMtanE	పొంతనే
poMtana	పొంతన
podigAranI	పొదిగారనీ
podivipaTTukOvaTaM	పొదివిపట్టుకోవటం
poga	పొగ
pogoTTukunna	పొగొట్టుకున్న
polAlE	పొలాలే
polAlu	పొలాలు
polaMlO	పొలంలో
pora	పొర
porapATu	పొరపాటు
pottiLla	పొత్తిళ్ల
pottikaDupulO	పొత్తికడుపులో
prAMtAlEpaMcArAmAlani	ప్రాంతాలేపంచారామాలని
prAMtAla	ప్రాంతాల
prAMtAlakU	ప్రాంతాలకూ
prAMtAlanu	ప్రాంతాలను
prAMtAllO	ప్రాంతాల్లో
prAMtAlni	ప్రాంతాల్ని
prAMtAniki	ప్రాంతానికి
